level,pos,id,type,char,name,freq,grade,strokes,parts,source
16,20,k:達,kanji,達,accomplished,306,4,12,辶 土 羊,auto
16,21,k:研,kanji,研,polish,382,3,9,万 石 廾,auto
16,22,k:花,kanji,花,flower,458,1,7,化 艹,auto
16,23,r:隶,radical,隶,servant,,,8,,radical
16,24,k:挙,kanji,挙,raise,295,4,10,⺌ 手,override
16,25,k:録,kanji,録,record,277,4,16,金 隶,override
16,26,k:告,kanji,告,revelation,333,5,7,史 土,auto
16,27,k:豆,kanji,豆,beans,1220,3,7,,auto
16,28,k:頭,kanji,頭,head,353,2,16,員 豆 頁,auto
16,29,k:歩,kanji,歩,walk,520,2,8,少 止,auto
17,0,k:松,kanji,松,pine tree,318,4,8,公 木,auto
17,1,k:歳,kanji,歳,years old,218,8,13,歩 戈,override
17,2,k:英,kanji,英,England,378,4,8,冖 艹 大,auto
17,3,k:権,kanji,権,authority,254,6,15,集 矢,override
17,4,k:充,kanji,充,allot,1160,8,6,厶 儿,auto
17,5,k:統,kanji,統,unify,270,5,12,充 糸,override
17,6,k:双,kanji,双,pair,1177,8,4,丶 又,auto
17,7,k:殺,kanji,殺,kill,317,5,10,木 双 殳,auto
17,8,r:廴,radical,廴,long stride,,,3,,radical
17,9,r:艮,radical,艮,stubborn,,,6,,radical
17,10,k:建,kanji,建,build,376,4,9,廴 聿,auto
17,11,k:福,kanji,福,blessing,334,3,13,礻 田 口,auto
17,12,k:郎,kanji,郎,son,226,8,9,艮 阝,override
17,13,k:究,kanji,究,research,413,3,7,九 穴,auto
17,14,k:落,kanji,落,fall,346,3,12,氵 艹 口 夂,auto
17,15,k:字,kanji,字,character,465,1,6,宀 子,auto
17,16,k:帰,kanji,帰,homecoming,416,2,10,冖 巾 ヨ 刂,auto
17,17,k:官,kanji,官,bureaucrat,365,4,8,宀 中,auto
17,18,k:象,kanji,象,elephant,315,5,12,号 豕,auto
17,19,k:営,kanji,営,manage,316,5,12,⺌ 冖 史,override
